filename,true_positives,false_positives,false_negatives,total_completed,total_initial,mean_iou,precision,recall,f_score
00820001_2023-11-24_2_8406070dff_processed_00136.txt,7,6,5,13,12,0.9998539736724765,0.5384615384615384,0.5833333333333334,0.5599999999999999
00820001_2023-11-24_2_8406070dff_processed_00165.txt,7,4,5,11,14,0.838731934718008,0.6363636363636364,0.5833333333333334,0.6086956521739131
00820001_2023-11-24_2_8406070dff_processed_00487.txt,5,9,7,14,14,0.7588066056984508,0.35714285714285715,0.4166666666666667,0.3846153846153846
00820001_2023-11-24_2_8406070dff_processed_00584.txt,18,6,3,24,21,0.9997221291806102,0.75,0.8571428571428571,0.7999999999999999
00820001_2023-11-24_2_8406070dff_processed_00626.txt,8,5,4,13,14,0.841864547190514,0.6153846153846154,0.6666666666666666,0.64
00820001_2023-12-19_2_5ed57aefdf_processed_00252.txt,4,2,1,6,5,0.9998562957266359,0.6666666666666666,0.8,0.7272727272727272
00820001_2023-12-19_2_5ed57aefdf_processed_00296.txt,7,2,3,9,10,0.9998222156662994,0.7777777777777778,0.7,0.7368421052631577
00820001_2023-12-19_2_5ed57aefdf_processed_00399.txt,4,0,1,4,5,0.9999798894799801,1,0.8,0.888888888888889
00820001_2023-12-19_2_5ed57aefdf_processed_00649.txt,4,2,7,6,11,0.9999665761393917,0.6666666666666666,0.36363636363636365,0.4705882352941177
00820001_2023-12-19_2_5ed57aefdf_processed_00678.txt,4,1,1,5,5,0.9999373451505054,0.8,0.8,0.8000000000000002
00820001_2024-03-06_1_9d6cbda749_processed_00265.txt,6,4,5,10,12,0.864179569625499,0.6,0.5454545454545454,0.5714285714285713
00820001_2024-03-06_1_9d6cbda749_processed_00286.txt,5,6,4,11,10,0.8820449638185629,0.45454545454545453,0.5555555555555556,0.5
00820001_2024-03-06_1_9d6cbda749_processed_00368.txt,8,2,3,10,11,0.9998924260019586,0.8,0.7272727272727273,0.761904761904762
00820001_2024-03-06_1_9d6cbda749_processed_00379.txt,7,6,6,13,14,0.8844406814164998,0.5384615384615384,0.5384615384615384,0.5384615384615384
00820001_2024-03-06_1_9d6cbda749_processed_00478.txt,8,4,3,12,11,0.9999285796553687,0.6666666666666666,0.7272727272727273,0.6956521739130435
00820001_2024-05-29_1_3c0ac33ccb_processed_00185.txt,7,5,3,12,10,0.9999005952444083,0.5833333333333334,0.7,0.6363636363636365
00820001_2024-05-29_1_3c0ac33ccb_processed_00241.txt,1,3,2,4,3,0.999976113435822,0.25,0.3333333333333333,0.28571428571428575
00820001_2024-05-29_1_3c0ac33ccb_processed_00493.txt,0,7,3,7,4,0.47881753593942966,0,0,0
00820001_2024-05-29_1_3c0ac33ccb_processed_00709.txt,3,4,1,7,4,0.9998672035807425,0.42857142857142855,0.75,0.5454545454545454
00820001_2024-05-29_1_3c0ac33ccb_processed_00789.txt,4,5,2,9,6,0.9999216490152862,0.4444444444444444,0.6666666666666666,0.5333333333333333
00820001_2024-05-29_1_d421caef5c_processed_00039.txt,6,9,2,15,8,0.9998715947790577,0.4,0.75,0.5217391304347827
00820001_2024-05-29_1_d421caef5c_processed_00220.txt,0,8,2,8,2,NA,0,0,0
00820001_2024-05-29_1_d421caef5c_processed_00240.txt,2,8,3,10,5,0.9997885289385721,0.2,0.4,0.26666666666666666
00820001_2024-05-29_1_d421caef5c_processed_00249.txt,5,10,2,15,8,0.8352226037302902,0.3333333333333333,0.7142857142857143,0.4545454545454545
00820001_2024-05-29_1_d421caef5c_processed_00375.txt,8,13,1,21,9,0.9998759883310251,0.38095238095238093,0.8888888888888888,0.5333333333333333
